CVCL_DD34	Q54798577
CVCL_DE33	Q54752308
CVCL_DF63	Q54798056
CVCL_DP53	Q54750358
CVCL_DQ66	Q54797024
CVCL_DQ67	Q54797030
CVCL_DQ71	Q54797019
CVCL_E459	Q54750311
CVCL_E461	Q54750544
CVCL_E464	Q54751913
CVCL_E486	Q54797458
CVCL_E491	Q54797921
CVCL_E504	Q54798403
CVCL_E506	Q54798652
CVCL_E515	Q54808422
CVCL_E997	Q54798314
CVCL_EF58	Q54748145
CVCL_EF61	Q54748157
CVCL_EF64	Q54748169
CVCL_EF65	Q54748173
CVCL_EF67	Q54748179
CVCL_EF70	Q54748187
CVCL_EI41	Q54800055
CVCL_EI58	Q54807613
CVCL_EI61	Q54807683
CVCL_EI65	Q54807770
CVCL_EP76	Q54809020
CVCL_F039	Q54752790
CVCL_F049	Q54795834
CVCL_F537	Q54750199
