 
Q54583368	CVCL_DP91
Q54583370	CVCL_J621
Q54583371	CVCL_E387
Q54583372	CVCL_CW45
Q54583373	CVCL_0B43
Q54583375	CVCL_0F11
Q54583376	CVCL_H534
Q54583378	CVCL_2H35
Q54583380	CVCL_1045
Q54583382	CVCL_4Y35
Q54583385	CVCL_RS39
Q54583387	CVCL_3634
Q54583389	CVCL_E388
Q54583390	CVCL_E437
Q54583392	CVCL_J804
Q54583395	CVCL_1046
Q54583396	CVCL_G581
Q54583397	CVCL_Y556
Q54583399	CVCL_Y436
Q54583402	CVCL_E389
Q54583404	CVCL_E390
Q54583406	CVCL_U363
Q54583409	CVCL_J622
Q54583412	CVCL_E391
Q54583415	CVCL_G582
Q54583416	CVCL_S152
Q54583417	CVCL_9151
Q54583418	CVCL_6530
Q54583420	CVCL_4W87
Q54583423	CVCL_E974
Q54583424	CVCL_J805
Q54583426	CVCL_Z068
Q54583429	CVCL_Z069
Q54583430	CVCL_J971
Q54583501	CVCL_J972
Q54583503	CVCL_0F05
Q54583504	CVCL_JC62
Q54583505	CVCL_E392
Q54583507	CVCL_M070
Q54583510	CVCL_D570
Q54583511	CVCL_C102
Q54583513	CVCL_C103
Q54583514	CVCL_E393
Q54583516	CVCL_J806
Q54583518	CVCL_J904
Q54583519	CVCL_E394
Q54583520	CVCL_C237
Q54583523	CVCL_C238
Q54583524	CVCL_C239
Q54583525	CVCL_C240
Q54583527	CVCL_C241
Q54583528	CVCL_C242
Q54583529	CVCL_C243
Q54583532	CVCL_C244
Q54583535	CVCL_C245
Q54583536	CVCL_C246
Q54583537	CVCL_C247
Q54583539	CVCL_E395
Q54583541	CVCL_9556
Q54583542	CVCL_L025
Q54583543	CVCL_S153
Q54583544	CVCL_G583
Q54583546	CVCL_J715
Q54583549	CVCL_G584
Q54583552	CVCL_D660
Q54583553	CVCL_G335
Q54583556	CVCL_G585
Q54583559	CVCL_E438
Q54583560	CVCL_J584
Q54583561	CVCL_E396
Q54583562	CVCL_E397
Q54583564	CVCL_5449
Q54583567	CVCL_B513
Q54583568	CVCL_B514
Q54583643	CVCL_B515
Q54583644	CVCL_B516
Q54583648	CVCL_B517
Q54583649	CVCL_B518
Q54583651	CVCL_T792
Q54583653	CVCL_7935
Q54583654	CVCL_7936
Q54583655	CVCL_7937
Q54583657	CVCL_6G34
Q54583660	CVCL_E398
Q54583662	CVCL_M629
Q54583663	CVCL_E399
Q54583665	CVCL_E400
Q54583666	CVCL_S154
Q54583668	CVCL_G586
Q54583669	CVCL_G587
Q54583672	CVCL_E439
Q54583673	CVCL_J623
Q54583674	CVCL_J908
Q54583675	CVCL_J909
Q54583677	CVCL_0F04
Q54583678	CVCL_J807
Q54583680	CVCL_KR59
Q54583681	CVCL_V365
Q54583682	CVCL_S816
Q54583683	CVCL_J808
Q54583686	CVCL_JD14
Q54583690	CVCL_J809
Q54583691	CVCL_3481
Q54583692	CVCL_J912
Q54583693	CVCL_4827
Q54583696	CVCL_9871
Q54583699	CVCL_8101
Q54583701	CVCL_V366
Q54583702	CVCL_E440
Q54583704	CVCL_S155
Q54583706	CVCL_4087
Q54583707	CVCL_J624
Q54583708	CVCL_6D18
Q54583710	CVCL_6D19
Q54583742	CVCL_6D20
Q54583745	CVCL_E441
Q54583747	CVCL_JY60
Q54583748	CVCL_JY61
Q54583750	CVCL_JY62
Q54583752	CVCL_JY63
Q54583754	CVCL_JY64
Q54583755	CVCL_JY65
Q54583756	CVCL_K058
Q54583758	CVCL_K059
Q54583760	CVCL_X482
Q54583761	CVCL_J810
Q54583762	CVCL_8073
Q54583763	CVCL_8997
Q54583764	CVCL_8998
Q54583765	CVCL_0B44
Q54583767	CVCL_G588
Q54583768	CVCL_G589
Q54583769	CVCL_G590
Q54583770	CVCL_G591
Q54583774	CVCL_0E28
Q54583776	CVCL_0E29
Q54583777	CVCL_0E30
Q54583780	CVCL_0E31
Q54583781	CVCL_G592
Q54583782	CVCL_E442
Q54583784	CVCL_J811
Q54583786	CVCL_J812
Q54583789	CVCL_J911
Q54583790	CVCL_6554
Q54583791	CVCL_J869
Q54583793	CVCL_J870
Q54583794	CVCL_J871
Q54583795	CVCL_GZ32
Q54583797	CVCL_GZ33
Q54583798	CVCL_5486
Q54583799	CVCL_EP74
Q54583800	CVCL_V061
Q54583802	CVCL_J547
Q54583805	CVCL_KR95
Q54583880	CVCL_JC70
Q54583882	CVCL_JD09
Q54583883	CVCL_6G30
Q54583884	CVCL_H365
Q54583887	CVCL_H367
Q54583889	CVCL_6351
Q54583891	CVCL_2285
Q54583892	CVCL_2286
Q54583894	CVCL_4W25
Q54583896	CVCL_4W26
Q54583897	CVCL_9832
Q54583900	CVCL_4V25
Q54583901	CVCL_4V26
Q54583902	CVCL_8468
Q54583903	CVCL_2283
Q54583904	CVCL_9831
Q54583906	CVCL_8469
Q54583908	CVCL_A783
Q54583909	CVCL_2284
Q54583911	CVCL_M907
Q54583912	CVCL_RY64
Q54583914	CVCL_RY62
Q54583915	CVCL_RY72
